url,property_id,found_at
https://www.hemnet.se/bostad/lagenhet-2rum-slussen-malmo-kommun-slussgatan-12l-21606074,21606074,2025-11-15T20:13:55.433973
https://www.hemnet.se/bostad/lagenhet-5rum-dockan-malmo-kommun-krankajen-34-21608025,21608025,2025-11-15T20:13:55.435036
https://www.hemnet.se/bostad/lagenhet-3rum-hogaholm-malmo-kommun-balladgatan-17-21610039,21610039,2025-11-15T20:13:55.436041
https://www.hemnet.se/bostad/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-2c-21619530,21619530,2025-11-15T20:13:55.437030
https://www.hemnet.se/bostad/lagenhet-2rum-hylie-malmo-kommun-alletorget-2-21575690,21575690,2025-11-15T20:13:55.438057
https://www.hemnet.se/bostad/lagenhet-2rum-rosengard-apelgarden-malmo-kommun-von-lingens-vag-22-21625814,21625814,2025-11-15T20:13:55.439191
https://www.hemnet.se/bostad/lagenhet-3rum-kalkbrottet-malmo-kommun-limhamnsgardens-alle-69-21626255,21626255,2025-11-15T20:13:55.440172
https://www.hemnet.se/bostad/lagenhet-2rum-norra-sofielund-malmo-kommun-rolfsgatan-12c-21626376,21626376,2025-11-15T20:13:55.441190
https://www.hemnet.se/bostad/lagenhet-4rum-limhamns-sjostad-malmo-kommun-formgatan-26-21627277,21627277,2025-11-15T20:13:55.442188
https://www.hemnet.se/bostad/lagenhet-2rum-ellstorp-malmo-kommun-sallerupsvagen-32f-21628209,21628209,2025-11-15T20:13:55.443198
https://www.hemnet.se/bostad/lagenhet-3rum-bulltofta-malmo-kommun-ahrenbergsgatan-12-21628543,21628543,2025-11-15T20:13:55.444331
https://www.hemnet.se/bostad/lagenhet-2rum-husie-malmo-kommun-ernst-jakobssons-gata-8a-21610678,21610678,2025-11-15T20:13:55.445459
https://www.hemnet.se/bostad/lagenhet-3rum-s-t-lars-park-lunds-kommun-sankt-lars-vag-39-a-21478127,21478127,2025-11-15T20:13:55.446483
https://www.hemnet.se/bostad/lagenhet-3rum-borgmastaregarden-malmo-kommun-annebergsgatan-8c-21612882,21612882,2025-11-15T20:13:55.447524
https://www.hemnet.se/bostad/lagenhet-2rum-almhog-malmo-kommun-rodkullastigen-6c-21642890,21642890,2025-11-15T20:13:55.448538
https://www.hemnet.se/bostad/lagenhet-3rum-husie-malmo-kommun-klagerupsvagen-343i-21643267,21643267,2025-11-15T20:13:55.449565
